observer_asn,observer_is_rpki,timestamp,attack_type,attacker_asn,prefix,as_path_length
12620,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
12620,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
2381,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33097,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
41291,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
8529,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26962,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
29009,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26968,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26968,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
26968,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
18779,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
18781,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14689,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4455,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
8551,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
39273,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22890,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22892,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33133,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33133,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
16750,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22898,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22898,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
37239,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14713,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4474,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
35193,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
31103,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
27008,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
12678,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14726,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14727,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
35213,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22926,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14735,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
41357,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22931,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
27027,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
20886,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22937,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
37273,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
37273,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
20893,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6561,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14755,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
20900,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6565,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
29091,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
